sku,store_view_code,attribute_set_code,product_type,categories,product_websites,name,description,short_description,weight,product_online,tax_class_name,visibility,price,special_price,special_price_from_date,special_price_to_date,url_key,meta_title,meta_keywords,meta_description,base_image,base_image_label,small_image,small_image_label,thumbnail_image,thumbnail_image_label,swatch_image,swatch_image_label,created_at,updated_at,new_from_date,new_to_date,display_product_options_in,map_price,msrp_price,map_enabled,gift_message_available,custom_design,custom_design_from,custom_design_to,custom_layout_update,page_layout,product_options_container,msrp_display_actual_price_type,country_of_manufacture,additional_attributes,qty,out_of_stock_qty,use_config_min_qty,is_qty_decimal,allow_backorders,use_config_backorders,min_cart_qty,use_config_min_sale_qty,max_cart_qty,use_config_max_sale_qty,is_in_stock,notify_on_stock_below,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,website_id,related_skus,related_position,crosssell_skus,crosssell_position,upsell_skus,upsell_position,additional_images,additional_image_labels,hide_from_product_page,custom_options,bundle_price_type,bundle_sku_type,bundle_price_view,bundle_weight_type,bundle_values,bundle_shipment_type,associated_skus,downloadable_links,downloadable_samples,configurable_variations,configurable_variation_labels
"HERBAL EYE CARE POWDER 50G BOTTLE-1",,Default,simple,"PERSONAL CARE,PERSONAL CARE/EYE CARE",base,"HERBAL EYE CARE POWDER 50G BOTTLE",,"<p>Takes complete care of eyes. Herbal eye care powder is a unique product of Jindal used for several years to treat many eye diseases.</p>",100.000000,2,"Taxable Goods","Catalog, Search",20.000000,,,,herbal-eye-care-powder-100g-bottle-1,,,,/h/e/herbal_eye_care_powder_100g_bottle_1.jpg,,/h/e/herbal_eye_care_powder_100g_bottle_1.jpg,,/h/e/herbal_eye_care_powder_100g_bottle_1.jpg,,/h/e/herbal_eye_care_powder_100g_bottle_1.jpg,,"5/30/22, 8:00 AM","5/30/22, 8:01 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/h/e/herbal_eye_care_powder_100g_bottle_1.jpg,,,,,,,,,,,,,,
"ALOEVERA GEL 50gm",,Default,simple,"PERSONAL CARE,PERSONAL CARE/SKIN CARE",base,"ALOEVERA GEL 50gm",,"<p>Moisturising gel with the goodness of Aloevera</p>
<p>Through ages, Aloevera has been used for multiple reasons across the globe. It moisturizes the skin without leaving a greasy feel and is suitable for all types of skin. Being an antioxidant, it naturally heals minor burns, cuts, insect bites, sunburn, wounds and skin infections. </p>",100.000000,2,"Taxable Goods","Catalog, Search",5.000000,,,,aloevera-gel-1,,,,/a/l/aloevera_gel_1.jpg,,/a/l/aloevera_gel_1.jpg,,/a/l/aloevera_gel_1.jpg,,/a/l/aloevera_gel_1.jpg,,"5/30/22, 8:04 AM","5/30/22, 8:05 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,30.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/a/l/aloevera_gel_1.jpg,,,,,,,,,,,,,,
"SATAVARI GRANULES 50G BOTTLE",,Default,simple,"Health Care,Health Care/WOMEN'S HEALTH",base,"SATAVARI GRANULES 50G BOTTLE",,,50.000000,2,"Taxable Goods","Catalog, Search",50.000000,,,,satavari-granules-100g-bottle-1,,,,/s/a/satavari_granules_100g_bottle_1.jpg,,/s/a/satavari_granules_100g_bottle_1.jpg,,/s/a/satavari_granules_100g_bottle_1.jpg,,/s/a/satavari_granules_100g_bottle_1.jpg,,"5/30/22, 8:05 AM","5/30/22, 8:06 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,80.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/s/a/satavari_granules_100g_bottle_1.jpg,,,,,,,,,,,,,,
"PROSTA SUPPORT TABLETS 100gm",,Default,simple,"Health Care/MEN'S HEALTH,Health Care",base,"PROSTA SUPPORT TABLETS 100gm",,,100.000000,2,"Taxable Goods","Catalog, Search",50.000000,,,,prosta-support-tablets-1,,,,/p/r/prosta_support_tablets_1.jpg,,/p/r/prosta_support_tablets_1.jpg,,/p/r/prosta_support_tablets_1.jpg,,/p/r/prosta_support_tablets_1.jpg,,"5/30/22, 8:07 AM","5/30/22, 8:08 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/p/r/prosta_support_tablets_1.jpg,,,,,,,,,,,,,,
"COCONUT OIL 100ML BOTTLE-1",,Default,simple,"WELLNESS/NUTRITION,WELLNESS",base,"COCONUT OIL 100ML BOTTLE",,"<p>Goodness of coconut for health and beauty. ""Our pure coconut oil is obtained from hand picked superior quality coconuts of Jindal Farm and cold presse</p>",150.000000,2,"Taxable Goods","Catalog, Search",35.000000,,,,coconut-oil-250ml-bottle-1,,,,/c/o/coconut_1.jpg,,/c/o/coconut_1.jpg,,/c/o/coconut_1.jpg,,/c/o/coconut_1.jpg,,"5/30/22, 8:09 AM","5/30/22, 8:10 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/coconut_1.jpg,,,,,,,,,,,,,,
"COCONUT OIL 250ML BOTTLE-1-1",,Default,simple,"WELLNESS,WELLNESS/NUTRITION",base,"COCONUT OIL 250ML BOTTLE",,"<p>Goodness of coconut for health and beauty. ""Our pure coconut oil is obtained from hand picked superior quality coconuts of Jindal Farm and cold presse</p>",250.000000,2,"Taxable Goods","Catalog, Search",70.000000,,,,coconut-oil-250ml-bottle-2,,,,/c/o/coconut_1_1.jpg,,/c/o/coconut_1_1.jpg,,/c/o/coconut_1_1.jpg,,/c/o/coconut_1_1.jpg,,"5/30/22, 8:10 AM","5/30/22, 8:14 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,200.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/c/o/coconut_1_1.jpg,,,,,,,,,,,,,,
"GREEN TEA 100G BOTTLE-1",,Default,simple,"WELLNESS/HERBAL TEA,WELLNESS",base,"GREEN TEA 100G BOTTLE",,"<p>Green tea has been considered a healthy beverage because of its rich antioxidant property and used as antiaging since long. It is known to scavenge the harmful free radicals in the body and terminate the chain reaction before the cell is damaged</p>",100.000000,2,"Taxable Goods","Catalog, Search",35.000000,,,,green-tea-200g-bottle-1,,,,/g/r/green-tea-200g-1_1.jpg,,/g/r/green-tea-200g-1_1.jpg,,/g/r/green-tea-200g-1_1.jpg,,/g/r/green-tea-200g-1_1.jpg,,"5/30/22, 8:14 AM","5/30/22, 8:15 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/green-tea-200g-1_1.jpg,,,,,,,,,,,,,,
"GREEN TEA 50G BOTTLE",,Default,simple,"WELLNESS,WELLNESS/HERBAL TEA",base,"GREEN TEA 50G BOTTLE",,"<p>Green tea has been considered a healthy beverage because of its rich antioxidant property and used as antiaging since long. It is known to scavenge the harmful free radicals in the body and terminate the chain reaction before the cell is damaged</p>",50.000000,2,"Taxable Goods","Catalog, Search",25.000000,,,,green-tea-200g-bottle-2,,,,/g/r/green-tea-200g-1_1_1.jpg,,/g/r/green-tea-200g-1_1_1.jpg,,/g/r/green-tea-200g-1_1_1.jpg,,/g/r/green-tea-200g-1_1_1.jpg,,"5/30/22, 8:15 AM","5/30/22, 8:16 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/g/r/green-tea-200g-1_1_1.jpg,,,,,,,,,,,,,,
"DIABETES ACUTE - MAG COMBO 200",,Default,simple," IMMUNITY/DIABETES, IMMUNITY,Vitamins & Supplements/Mineral Supplements",base,"DIABETES ACUTE - MAG COMBO 200",,"<p>This combo is suitable for individuals who have diabetes for 5 years or less. Madhunashini tablets help control blood sugar levels in diabetics</p>",200.000000,2,"Taxable Goods","Catalog, Search",100.000000,,,,diabetes-acute-mag-combo-1,,,,/d/i/diabetes_acute_-_mag_combo_1.jpg,,/d/i/diabetes_acute_-_mag_combo_1.jpg,,/d/i/diabetes_acute_-_mag_combo_1.jpg,,/d/i/diabetes_acute_-_mag_combo_1.jpg,,"5/30/22, 8:17 AM","5/30/22, 8:17 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/diabetes_acute_-_mag_combo_1.jpg,,,,,,,,,,,,,,
"AVIPATTIKARA CHURNA 200 G BOTTLE-1",,Default,simple," IMMUNITY/ DIGESTIVE, IMMUNITY,Vitamins & Supplements/Mineral Supplements",base,"AVIPATTIKARA CHURNA 200 G BOTTLE",,,100.000000,2,"Taxable Goods","Catalog, Search",80.000000,,,,avipattikara-churna-100-g-bottle-1,,,,/d/i/digestive_1.jpg,,/d/i/digestive_1.jpg,,/d/i/digestive_1.jpg,,/d/i/digestive_1.jpg,,"5/30/22, 8:18 AM","5/30/22, 8:19 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/digestive_1.jpg,,,,,,,,,,,,,,
"AVIPATTIKARA CHURNA 100 G BOTTLE-1-1",,Default,simple," IMMUNITY, IMMUNITY/ DIGESTIVE",base,"AVIPATTIKARA CHURNA 100 G BOTTLE",,,50.000000,2,"Taxable Goods","Catalog, Search",40.000000,,,,avipattikara-churna-100-g-bottle-2,,,,/d/i/digestive_1_1.jpg,,/d/i/digestive_1_1.jpg,,/d/i/digestive_1_1.jpg,,/d/i/digestive_1_1.jpg,,"5/30/22, 8:19 AM","5/30/22, 8:20 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/digestive_1_1.jpg,,,,,,,,,,,,,,
"AVIPATTIKARA CHURNA 200 G BOTTLE-2",,Default,simple," IMMUNITY/ DIGESTIVE, IMMUNITY,Vitamins & Supplements/Multivitamins",base,"AVIPATTIKARA CHURNA 200 G BOTTLE",,,100.000000,2,"Taxable Goods","Catalog, Search",100.000000,,,,avipattikara-churna-100-g-bottle-3,,,,/d/i/digestive_2.jpg,,/d/i/digestive_2.jpg,,/d/i/digestive_2.jpg,,/d/i/digestive_2.jpg,,"5/30/22, 8:21 AM","5/30/22, 8:22 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/digestive_2.jpg,,,,,,,,,,,,,,
"AVIPATTIKARA CHURNA 50 G BOTTLE-2-1",,Default,simple," IMMUNITY, IMMUNITY/ DIGESTIVE,Vitamins & Supplements/Multivitamins",base,"AVIPATTIKARA CHURNA 50 G BOTTLE",,,50.000000,2,"Taxable Goods","Catalog, Search",50.000000,,,,avipattikara-churna-100-g-bottle-4,,,,/d/i/digestive_2_1.jpg,,/d/i/digestive_2_1.jpg,,/d/i/digestive_2_1.jpg,,/d/i/digestive_2_1.jpg,,"5/30/22, 8:22 AM","5/30/22, 8:22 AM",5/30/22,,"Block after Info Column",,,,"Use config",,,,,,,"Use config",India,,50.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/i/digestive_2_1.jpg,,,,,,,,,,,,,,
"HealthVit Zinc Gluconate 50mg Capsule",,Default,simple,"Vitamins & Supplements,Vitamins & Supplements/Multivitamins",base,"HealthVit Zinc Gluconate 50mg Capsule",,,50.000000,1,"Taxable Goods","Catalog, Search",30.000000,,,,healthvit-zinc-gluconate-50mg-capsule,"HealthVit Zinc Gluconate 50mg Capsule","HealthVit Zinc Gluconate 50mg Capsule","HealthVit Zinc Gluconate 50mg Capsule ",/1/3/13123.png,,/1/3/13123.png,,/1/3/13123.png,,/1/3/13123.png,,"5/31/22, 7:23 AM","5/31/22, 7:23 AM",5/31/22,,"Block after Info Column",,,,"Use config",,,,,"3 columns",,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/1/3/13123.png,,,,,,,,,,,,,,
"Fast&Up Charge Natural Vitamin C",,Default,simple,"Vitamins & Supplements,Vitamins & Supplements/Multivitamins",base,"Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet",,,100.000000,1,"Taxable Goods","Catalog, Search",30.000000,,,,fast-up-charge-natural-vitamin-c-zinc-orange-effervescent-tablet,"Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet","Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet","Fast&Up Charge Natural Vitamin C & Zinc Orange Effervescent Tablet ",/d/r/drartqetr.png,,/d/r/drartqetr.png,,/d/r/drartqetr.png,,/d/r/drartqetr.png,,"5/31/22, 7:33 AM","5/31/22, 7:34 AM",5/31/22,,"Block after Info Column",,,,"Use config",,,,,"3 columns",,"Use config",India,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/d/r/drartqetr.png,,,,,,,,,,,,,,
"Nurokind -Gold RF Capsule",,Default,simple,"Vitamins & Supplements,Vitamins & Supplements/Multivitamins,Vitamins & Supplements/Mineral Supplements",base,"Nurokind -Gold RF Capsule",,,100.000000,1,"Taxable Goods","Catalog, Search",15.000000,,,,nurokind-gold-rf-capsule,"Nurokind -Gold RF Capsule","Nurokind -Gold RF Capsule","Nurokind -Gold RF Capsule ",/n/u/nurokind-plus-rf-cap-1.jpg,,/n/u/nurokind-plus-rf-cap-1.jpg,,/n/u/nurokind-plus-rf-cap-1.jpg,,/n/u/nurokind-plus-rf-cap-1.jpg,,"5/31/22, 7:38 AM","5/31/22, 7:42 AM",5/31/22,,"Block after Info Column",,,,"Use config",,,,,"3 columns",,"Use config",,,100.0000,0.0000,1,0,0,1,1.0000,1,10000.0000,1,1,1.0000,1,1,1,1,1.0000,1,0,0,0,,,,,,,/n/u/nurokind-plus-rf-cap-1.jpg,,,,,,,,,,,,,,
